104.19.144.34:443#CF优选IP 208ms
188.114.96.240:443#CF优选IP 212ms
188.114.96.40:443#CF优选IP 222ms
104.17.26.20:443#CF优选IP 229ms
188.114.96.189:443#CF优选IP 231ms
188.114.98.8:443#CF优选IP 232ms
104.18.151.39:443#CF优选IP 234ms
188.114.97.48:443#CF优选IP 235ms
104.25.13.18:443#CF优选IP 246ms
188.114.99.4:443#CF优选IP 247ms
188.114.99.91:443#CF优选IP 253ms
188.114.97.219:443#CF优选IP 256ms
188.114.98.56:443#CF优选IP 263ms
104.17.242.190:443#CF优选IP 292ms
172.66.43.142:443#CF优选IP 315ms
190.93.244.224:443#CF优选IP 320ms
188.114.98.69:443#CF优选IP 178ms
104.17.244.108:443#CF优选IP 185ms
104.17.80.202:443#CF优选IP 191ms
188.114.99.129:443#CF优选IP 192ms
188.114.99.97:443#CF优选IP 195ms
188.114.96.230:443#CF优选IP 199ms
172.66.139.243:443#CF优选IP 213ms
188.114.99.26:443#CF优选IP 232ms
188.114.99.152:443#CF优选IP 236ms
188.114.98.13:443#CF优选IP 245ms
188.114.98.28:443#CF优选IP 255ms
188.114.97.92:443#CF优选IP 268ms
188.114.97.145:443#CF优选IP 279ms
188.114.99.250:443#CF优选IP 282ms
173.245.49.195:443#CF优选IP 336ms
103.21.244.9:443#CF优选IP 336ms
